cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID
我家细细B思宇88255,2018-09-25 23:11,sml-str30,"南信甜品专家是广州必打卡地点，地理位置真是极致的热闹，夸张一点说，一路走到南信，路人可以把你的衣袖擦破...店内也是座无虚席，需要拼桌，我们十几个人的大队伍无奈只能分成几桌落座在餐厅的各个角落。店内的生意比起陈添记有过之而无不及哦(´-ω-`)。慢慢一口下去，双皮奶会占领你嘴巴里的每一个角落，满满都是牛奶的香味...然后你可能就会觉得这个双皮奶真的很腻...腻到你的嘴巴都张不开了比鱼皮还要腻，不是说好来解腻得么...另外一位小伙伴点了一份百合绿豆汤，口感清新，建议大家在吃双皮奶的时候 可以试下配一份百合绿豆汤
                            

		                            收起评论",好,好,好,518986
ShinyNikki,2018-09-25 22:44,sml-str50,"2018.09.25 周二两天打三卡，点评都不推送我让点评了哈哈今天去了北京路，晚上游船了珠江，回上下九街吃晚饭(呃算夜宵了吧哈哈哈)麻麻依旧要吃双皮奶…于是从文化公园下地铁走啊走啊走…终于走到了南信…今天怎么感觉这么遥远………点了热南信双皮奶14元，上汤鱼蛋拼云吞米粉21元麻麻是真的不觉得双皮奶腻啊上汤米粉真好吃！强推！里面有三个香菇荸荠猪肉馅儿的云吞，一个鲜虾的云吞，超好吃！！！！给的泡椒萝卜也巨好吃！！！
                            

		                            收起评论",非常好,非常好,非常好,518986
爱吃甜食得小吃兔,2018-09-25 22:06,sml-str50,"依旧那么好吃这次去竟然可以叫外卖了，真好啊……坐在酒店里就能吃到和店里一样的双皮奶，满满的幸福感……芒果很甜很新鲜「杨枝甘露」杨枝甘露也很纯正「牛三星粉」广州真的是没有什么是难吃的，生活在广州的人好幸福啊
                            

		                            收起评论",非常好,非常好,非常好,518986
C-zm_6372,2018-09-25 20:48,sml-str50,逛街正好经过就进去了，椰汁香芋西米露和鲜虾云吞面也很好吃，推荐推荐,非常好,非常好,非常好,518986
ceciler,2018-09-25 16:30,sml-str50,"朋友强烈推荐我来的……吃过以后……也就这样吧。一般甜品店都做得出来，而且因为店铺位于上下九步行街，所以人流量多，来吃的人也多，所以环境一般般，人挤人。桌子上的牌子上写着下单后15分钟左右上菜。和我同桌拼桌的一对情侣，我们都点了杨枝甘露，等了28分钟还没有送来。上甜品的服务员基本上是就近看到哪桌点了就上哪桌，我们距离厨房远，如果不反应，永远不送过来了，所以不说食物品质，服务就不太另人满意
                            

		                            收起评论",非常好,非常好,非常好,518986
张菜菜8,2018-09-25 15:49,sml-str50,"这家真的是很棒了，是在广州吃到最喜欢的店了。强推酸辣牛三星和马蹄水。本地朋友还嘲笑说点酸辣牛三星的都是外地人，结果他吃的比谁都香，里面的牛内脏非常非常嫩！味道很不错。马蹄水太惊艳了！非常凉爽解渴，口感很好，强推！双皮奶这种经典产品也很好。
                            

		                            收起评论",非常好,非常好,非常好,518986
兔子need肉,2018-09-25 12:17,sml-str50,"旅游必吃的一家！非常好找！看了菜谱感觉啥都好吃！点了几个大众点评推荐的！凤凰奶糊（热）这个非常惊艳！有种小时候吃的卖号的感觉而且热的比冷的要好吃！红豆椰汁双皮奶（冷）椰汁味很浓！红豆不是我喜欢的类型！感觉还是吃原味的南信双皮奶更加好吃！姜撞奶（热）是我喜欢的类型，姜味不是很冲！不过闺蜜不吃生姜！完全接受不了南信煲仔粥！这个非常惊艳！里面料非常足！虽然打包带走的但是也是满满的一大碗！鲜虾云吞口感Q弹满满都是虾仁超级满足！总体感觉口味非常棒都不会有踩雷的地方！下次来旅游必须拔草！
                            

		                            收起评论",非常好,非常好,很好,518986
C小姐觅食迹,2018-09-25 10:53,sml-str40,"来广州必要吃南信啦 一进店面人山人海的场景真实有被吓到 位子自己看哪里空了就坐哪儿 没有排队 每桌都是凭桌的 外卖也特别多人 店内的服务员估计也特烦吧 每天看到那么多人 所以服务态度就…………略差 不过吃的还是很厉害 说一下美食吧艇仔粥：料多味美 特别滑爽 一口接一口的我 完全停不下来龟苓膏：略微苦苦的 可以接受 配上椰汁 绝了虾仁韭黄肠粉：这个很一般双皮奶：我点的是原味的 必须要隆重推荐啊真的是大爱 吃了南信的双皮奶 感觉之前吃的都是假双皮奶 奶味特别足 不甜 入口即化鲜虾云吞：19元8个 性价比太高了 虾仁搭配少许猪肉 简直是真爱最后要说一下 广州这边街边美食也会踩到地雷 南信这家味道正宗 环境和服务态度就别太在意了


		                            收起评论",非常好,一般,一般,518986
幻影雪姬,2018-09-25 10:00,sml-str50,"前晚遛完狗后，专登过来上下九买红豆双皮奶打包翻屋企食，虽然等嘅时间比较长，等左差不多20分钟才等到我嘅2个双皮奶，但出品可以，弥补左等待的时间的不满，呢间老店除左双皮奶出名外，仲有牛三星，但每次晚上过去，都基本上买唔到的。


		                            收起评论",非常好,很好,很好,518986
ashoulle,2018-09-25 08:12,sml-str40,"来广州就不能不吃甜品，吃甜品就不能不去南信荔湾区甜品NO.1，用极品营养的水牛奶现做的双皮奶，其浓郁纯度不是其他省份添加吉利丁片做出的妖艳***可以相提并论的姜汁撞奶热辣，呈流膏体，椰汁双拼冰糯，完全是高品质奶酪口感完美到容不下任何乱七八糟的添料吃得我满脑都是“中华小当家”里满足到晕眩的金星背景
                            

		                            收起评论",非常好,很好,很好,518986
栒_7920,2018-09-24 20:54,sml-str40,"这么多年店面一点没改变，点单方式也还是：落座-看菜单-跑点单台报桌号点东西…菜单似乎也差不多，分甜咸两张。六年前来这儿，第一次吃正宗双皮奶惊为天人，这次过来选择了黑糯米，没有失望。只是几年来嗜甜的能力严重下降，吃到红豆会觉得有点甜，雪糕倒是正好，黑糯米则是经验，淡淡的很软糯，是理想中的口味。甜品份量很大，碗都挺深的，两个姑娘的话估计三份最多了吧～
                            

		                            收起评论",很好,很好,非常好,518986
美食无处不在_,2018-09-24 20:03,sml-str40,"早饭没有吃，先来点云吞垫垫饥吧，这家云吞面做的不错喜欢他的口味，不过双皮奶貌似他家的特色个人觉得太厚了不适合我还是顺德的好吃，姜汁撞奶味道还不错，姜糖番薯味道不错喜欢的，整体这家店的口味可以，还是老字号呢？
                            

		                            收起评论",很好,很好,很好,518986
秋天的wendy,2018-09-24 19:49,sml-str40,热的南信双皮奶，果冻状，奶味浓郁，一碗吃下去有点腻，没尝试过冰冻的，可能会好些。餐厅两层楼，生意火爆，游客慕名而来。属于老字号风格。,很好,很好,很好,518986
dpuser_18031828140,2018-09-23 23:56,sml-str40,双皮奶奶味很浓，口感不错，就是吃多了甜腻，偶尔吃下很美味。鱼片粥味道一般，不推荐，其一有鱼刺吃着费劲，其二鱼非鲜鱼应该是速冻鱼片味道一般。,很好,好,好,518986
一只橘色的猫,2018-09-23 20:11,sml-str30,"踩雷了，之前看攻略都推荐这家，可能口味不一样吧，真心觉得一般，买了红豆双皮奶和杨枝甘露。出品一般，双皮奶两个人吃都腻到吐，买之前说有位置，可以到里面吃，买之后才看到根本没位置给我带的是外卖，只能带到其他店铺吃的，导致不凉了就更不好吃了～杨枝甘露里的芒果真的这么酸吗？第一次吃这么酸的杨枝甘露，还有纤维，酸到我都没怎么吃，作为推荐前列的产品，表示真的一般，不推荐


		                            收起评论",一般,一般,差,518986
逸悦,2018-09-23 15:50,sml-str50,"南信牛奶甜品专家出品的粤式甜品双皮奶必须打卡✅如果你到广州之前，有读过游记和攻略的话，你会发现他家一定会出现在每一篇文章里面。【位置】上下九步行街内，苹果自带导航不准，我们是到了附近再根据门牌号找到的。【环境】他家店铺门面不大，外面放着一个冰柜可以购买外带的双皮奶。逛街逛累了，当然是堂食了。入内被告知一楼满了，去到二楼还是人很多，必须拼桌。【甜品】自己拿了自己所在餐桌的纸质号码牌去收营员那里点单。我点了双皮奶加了红豆在里面，另外点了一杯柠檬红茶。双皮奶是一种粤式甜品。在清朝时起源自顺德，用水牛奶做原料；现遍布于广东、澳门、香港等地。一碗上佳的双皮奶，以普通牛奶做原料，其状如膏，其色洁白，质感细腻嫩滑，口味甜香清淡。我觉得双皮奶吃起来有点像布丁和炖蛋的结合体。甜甜的很好吃。柠檬红茶略甜，分量很足！【服务】二楼是狭长型的大厅，工作人员收台子也很及时。注意他家店里没有厕所。
                            

		                            收起评论",非常好,很好,非常好,518986
elfly02,2018-09-23 14:35,sml-str50,"赶高铁，没时间堂吃，而且好像只有双皮奶和杨枝甘露可以打包，遗憾没吃到姜撞奶，双皮奶超级好吃，应该是真的水牛奶做的，长沙哪个店都吃不到的滑腻丰腴，奶味十足～杨枝甘露芒果多多～西米很Q弹，水果料很足～五星好评～
                            

		                            收起评论",非常好,很好,非常好,518986
壁花小姐LUU,2018-09-23 10:47,sml-str40,"菜单分咸品（绿色）和甜品（红色）。咸品有云吞面，牛三星，牛肉萝卜之类的。甜品就是双皮奶，绿豆爽之类的。点了【姜撞奶】热的。姜味很浓。甜。【双皮奶】点了冷的。很厚，很甜。【杨枝甘露】也甜。上下九好比上海南京路的感觉，人多是多的莱，这家店就好比在南京路上吃东西，人挤人，人等人。路过就吃，没必要特意去，毕竟广州双皮奶太多了。
                            

		                            收起评论",很好,好,好,518986
